"model_id","logloss","auc","aucpr","mean_per_class_error","rmse","mse"
"StackedEnsemble_AllModels_1_AutoML_1_20250326_194124",0.34598209072691816,0.8227097238581338,0.605519105657397,0.2753239104829211,0.32038828406217185,0.10264865256430292
"GLM_1_AutoML_1_20250326_194124",0.35582739674738867,0.8154986258343149,0.6012587316775544,0.23784844915586967,0.3227713757446379,0.1041813610000862
"StackedEnsemble_BestOfFamily_1_AutoML_1_20250326_194124",0.3559549332967669,0.8095177332809842,0.5910120489750647,0.2567923046721633,0.32495872023085665,0.10559816985407618
"DeepLearning_1_AutoML_1_20250326_194124",0.3702974724805588,0.8122137154822667,0.5717776551275631,0.2545936395759717,0.33388604363743096,0.11147989013585644
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_14",0.37249663822307755,0.7894843606857741,0.5475507370541756,0.27017078916372206,0.3330932592516305,0.11095111935887396
"GBM_grid_1_AutoML_1_20250326_194124_model_4",0.3784766146401929,0.7813244339746106,0.5147619772568529,0.27117196702002355,0.33987452238872434,0.11551469096896348
"GBM_grid_1_AutoML_1_20250326_194124_model_11",0.37890124224899113,0.7821456615626227,0.5032077429332842,0.2824499411071849,0.34107126589357495,0.1163296084182457
"GBM_grid_1_AutoML_1_20250326_194124_model_10",0.3797267818223415,0.78356236094752,0.505016289388579,0.29711425206124853,0.3401944045671671,0.11573223289880936
"GBM_grid_1_AutoML_1_20250326_194124_model_14",0.3835979337663222,0.7833137023949744,0.5133123139805915,0.2819395367098547,0.3431506548078598,0.11775237189506296
"GBM_grid_1_AutoML_1_20250326_194124_model_3",0.3846986362396451,0.7681880643894778,0.4971368323854948,0.28546329014526894,0.34243507720833954,0.11726178210268148
"GBM_grid_1_AutoML_1_20250326_194124_model_2",0.386251142401331,0.7658585263708938,0.4943712856814335,0.29112681586179817,0.34331316024660546,0.11786392599851142
"GBM_grid_1_AutoML_1_20250326_194124_model_7",0.38712340177118,0.7694084543907865,0.4756075734125039,0.3066254416961131,0.3442654702053522,0.11851871397571226
"GBM_grid_1_AutoML_1_20250326_194124_model_5",0.3872311237540259,0.7656982070409633,0.4946483730893965,0.2846486062033765,0.3416841770073421,0.1167480768171847
"GBM_grid_1_AutoML_1_20250326_194124_model_1",0.389365843208444,0.7679492213061119,0.4942817927397387,0.2925598743619945,0.34412391307287704,0.11842126754858905
"GBM_3_AutoML_1_20250326_194124",0.38954720313947816,0.7638987043580683,0.4985351056710069,0.31218099725166865,0.34263969422721613,0.11740196006012016
"GBM_grid_1_AutoML_1_20250326_194124_model_6",0.3900637773942537,0.7764396021463159,0.4984777882631114,0.30114840989399294,0.346287316869314,0.1199149058245487
"GBM_grid_1_AutoML_1_20250326_194124_model_9",0.39007281194288984,0.7587423112158095,0.48277941519023154,0.2747055359246172,0.3436914326960292,0.11812380090864916
"GBM_1_AutoML_1_20250326_194124",0.3902063945075751,0.7719343017929591,0.4768189879889141,0.289006674519042,0.34672693298344376,0.12021956605610548
"GBM_4_AutoML_1_20250326_194124",0.39442041605881417,0.7601099332548096,0.49040561388266646,0.2817824892029839,0.3445440938104825,0.11871063257968656
"GBM_2_AutoML_1_20250326_194124",0.3947607003470658,0.7613892160711949,0.4592767041647052,0.3225363172359639,0.34756094407737137,0.12079860984795368
"GBM_5_AutoML_1_20250326_194124",0.3960099117143113,0.7673701086245256,0.4611271659124895,0.2789163722025913,0.3487605486038639,0.12163392026246814
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_11",0.39655394768509905,0.8019074728438687,0.5359853911301202,0.266215155084413,0.3361838911148213,0.113019608645102
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_14",0.4005026829699669,0.773560397853684,0.5107117944821312,0.2841382018060463,0.3442747552762902,0.11852510712054948
"GBM_grid_1_AutoML_1_20250326_194124_model_12",0.40572751994353257,0.7537037037037037,0.4399144356250517,0.31401648998822146,0.351271715463141,0.12339181808441788
"XRT_1_AutoML_1_20250326_194124",0.4122758840349769,0.7344588404659076,0.42896540047465465,0.29389477817039655,0.35475438229572165,0.125850671758019
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_9",0.4132771288268127,0.7514428739693758,0.4888835409878319,0.29398311739301136,0.34622957848043134,0.11987492101473718
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_14",0.4134833402088061,0.7824074074074074,0.5136131324852807,0.2989595602669808,0.34483050188713626,0.11890807503173428
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_5",0.4154789188785534,0.7609377044889413,0.4731271312872797,0.2983804475853946,0.3462723730070877,0.11990455630795968
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_7",0.41669562052070375,0.7947290930506479,0.5496921187757258,0.28262661955241464,0.3433981770162639,0.11792230797809332
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_13",0.4172945958987401,0.8055293809710771,0.5761942873003245,0.2868472712995681,0.3356172450402787,0.11263893516842644
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_5",0.41810077198937706,0.7227718884962702,0.4408764354573715,0.33587553985080487,0.3555505560626404,0.1264161979164528
"GBM_grid_1_AutoML_1_20250326_194124_model_13",0.41984642804857447,0.7653121319199058,0.44556752651642206,0.2998723989006674,0.3571842024124057,0.1275805544529864
"GBM_grid_1_AutoML_1_20250326_194124_model_8",0.4207212496323715,0.7561150372987829,0.4911617405586272,0.30889281507656063,0.3528174856653472,0.12448017819121748
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_10",0.4243281826682617,0.7887023949744798,0.5384164909422979,0.30259128386336864,0.3416516563244455,0.11672585426923704
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_6",0.4272446382474307,0.7754515115822537,0.5524527799152251,0.27918138987043584,0.33421999291999144,0.11170300366743914
"DRF_1_AutoML_1_20250326_194124",0.4275933620230611,0.7496826331631986,0.465718094334363,0.30163918335296425,0.3498509285925792,0.12239567223708996
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_13",0.4289871265568589,0.7848383719408455,0.5083249709706462,0.2815371024734982,0.3443146840797468,0.11855260167293584
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_13",0.4309875420385541,0.7975755791126816,0.5872264167533289,0.2726148409893993,0.3366484464547895,0.11333217650042324
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_6",0.4343944234695328,0.774571391179165,0.5004565532822803,0.2908814291323125,0.34359944946504584,0.1180605816726826
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_2",0.43647958403898074,0.7503729878288182,0.5204125068001157,0.2945818610129564,0.3431632748411671,0.1177610331997144
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_3",0.43742684258170195,0.7689667582777123,0.483888543384788,0.2825480957989792,0.34702624415642497,0.12042721413331468
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_15",0.4423983953909552,0.7771659468655935,0.4837974370038272,0.26822732626619555,0.35004935581716495,0.12253455150801217
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_2",0.4454344464630234,0.7460967150896479,0.5040028328106928,0.305702787593247,0.35208156826137765,0.12396143070939114
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_9",0.4464282818867214,0.791525978275095,0.556927266681427,0.2918138987043581,0.3385348629137552,0.114605853408035
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_10",0.4469443537252054,0.7802676351262924,0.513614403787829,0.27723792697290933,0.3489174531819704,0.12174338913499252
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_15",0.4525825121014535,0.7918040832351787,0.4817811651589208,0.2694051825677267,0.3539011973286772,0.12524605747067133
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_2",0.4538230239967797,0.7534255987436199,0.44450056106203095,0.3078818217510797,0.35463372341884186,0.12576507778591164
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_15",0.45405625326958726,0.7372856955895825,0.43687945178421966,0.30691990577149586,0.35685622598908173,0.12734636602717056
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_8",0.4542225247848118,0.7713224708807748,0.5206002906586966,0.2976148409893993,0.34959626646490183,0.12221754952619863
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_7",0.45538026493419126,0.7794889412380579,0.4993714584933568,0.30208087946603845,0.347704622282276,0.1208985043564602
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_8",0.4606887072179537,0.775494045282031,0.5080723867127174,0.2869159795838241,0.3583892692813376,0.1284428683360111
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_7",0.46097312328857054,0.761062033765214,0.5229853925668203,0.30433843737730665,0.3500975249031047,0.12256827694328
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_6",0.4647222202720152,0.7771757623347729,0.5206679780824358,0.2752944640753828,0.34512508462207936,0.11911132403539744
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_1",0.4650533889944405,0.7909206910090303,0.5459160977342427,0.28988025127601097,0.3404414502281898,0.115900381033473
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_9",0.46521477675771855,0.7441696113074204,0.4548423685933935,0.3237043580683157,0.3570816389713207,0.12750729689044463
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_5",0.4678850621586178,0.755840204161759,0.501366236939249,0.2793188064389478,0.3462865152894163,0.11991435067128715
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_12",0.4786690342257894,0.7554214108101034,0.48845928383486414,0.3110031409501374,0.36195650021962217,0.13101250805123735
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_8",0.4870140929811885,0.7715678576102605,0.518239901962337,0.2945818610129564,0.34401961425211836,0.1183494949901763
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_4",0.48764782733724826,0.7974348907211098,0.5357125442430538,0.29423831959167646,0.3551684614502634,0.12614463600894724
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_4",0.49070955424096974,0.780787854992802,0.47616980204778303,0.275137416568512,0.3562988688915594,0.12694888397340462
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_11",0.4911845113184787,0.7268093181520744,0.456387441061645,0.3150274833137024,0.35673381168374957,0.1272590123984169
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_10",0.5020249086310218,0.7755005889281508,0.4875501444996047,0.3116705928543384,0.358187089364612,0.12829799098749256
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_11",0.5056209658728272,0.75496662740479,0.46391972525412056,0.28117393011385944,0.35662541303160517,0.12718168521996298
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_12",0.5172567240866963,0.7511942154168303,0.4594326342235051,0.30440714566156263,0.3648538101040453,0.13311830274743872
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_3",0.5189295625048714,0.7332678968721372,0.445099958139741,0.30653710247349825,0.3581845646213957,0.1282961823330188
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_12",0.520987743061967,0.7391146446800156,0.412511672454093,0.3186395759717314,0.3745900002418987,0.1403176682812257
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_1",0.5353462706611972,0.7659010600706714,0.4989431613881176,0.28960541813898705,0.35164273531292517,0.12365261329835596
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_3",0.5353988024741397,0.7573157963617327,0.4906466476661297,0.315547703180212,0.35222202182313006,0.12406035265717352
"DeepLearning_grid_1_AutoML_1_20250326_194124_model_16",0.6243598585369953,0.7540341578327443,0.478914155512886,0.2904593639575972,0.36067292374347726,0.13008495792166816
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_1",0.6382606231265615,0.7209004057060595,0.43734882618563625,0.316215155084413,0.3607241466810194,0.1301219099987496
"DeepLearning_grid_3_AutoML_1_20250326_194124_model_4",0.6997834158455114,0.7597107708415128,0.4276120078482513,0.31527287004318805,0.38128096485299695,0.1453751741592323
"DeepLearning_grid_2_AutoML_1_20250326_194124_model_16",0.9054241977390995,0.7436166732103128,0.4485961847152712,0.320838241067923,0.3867235557927378,0.14955510860497878
